bandwidth_0,time_0,bandwidth_1,time_1,bandwidth_2,time_2,bandwidth_3,time_3,bandwidth_4,time_4,bandwidth_5,time_5,bandwidth_6,time_6,bandwidth_7,time_7,bandwidth_8,time_8,bandwidth_9,time_9,bandwidth_10,time_10,bandwidth_11,time_11,bandwidth_12,time_12,bandwidth_13,time_13,
0.00892857,0.014336,0.0416667,0.012288,0.181818,0.011264,0.615385,0.013312,2.66667,0.012288,10.6667,0.012288,39.3846,0.013312,170.667,0.012288,409.6,0.02048,574.877,0.058368,652.099,0.205824,680.893,0.78848,689.173,3.11603,716.179,11.9941,
0.0104167,0.012288,0.0416667,0.012288,0.181818,0.011264,0.666667,0.012288,2.90909,0.011264,11.6364,0.011264,42.6667,0.012288,170.667,0.012288,431.158,0.019456,574.877,0.058368,665.34,0.201728,687.14,0.781312,690.307,3.11091,716.608,11.9869,
0.0104167,0.012288,0.0454545,0.011264,0.2,0.01024,0.727273,0.011264,2.90909,0.011264,10.6667,0.012288,42.6667,0.012288,157.538,0.013312,455.111,0.018432,574.877,0.058368,668.735,0.200704,689.853,0.77824,689.399,3.11501,716.791,11.9839,
0.00961538,0.013312,0.0454545,0.011264,0.181818,0.011264,0.727273,0.011264,2.66667,0.012288,11.6364,0.011264,42.6667,0.012288,157.538,0.013312,481.882,0.017408,564.966,0.059392,665.34,0.201728,688.946,0.779264,690.307,3.11091,716.975,11.9808,
0.0104167,0.012288,0.0454545,0.011264,0.2,0.01024,0.666667,0.012288,2.66667,0.012288,10.6667,0.012288,46.5455,0.011264,157.538,0.013312,455.111,0.018432,574.877,0.058368,668.735,0.200704,684.449,0.784384,690.762,3.10886,716.424,11.99,
0.0104167,0.012288,0.0454545,0.011264,0.181818,0.011264,0.8,0.01024,2.90909,0.011264,11.6364,0.011264,42.6667,0.012288,157.538,0.013312,455.111,0.018432,574.877,0.058368,661.98,0.202752,687.14,0.781312,690.534,3.10989,716.424,11.99,
0.0113636,0.011264,0.0454545,0.011264,0.181818,0.011264,0.727273,0.011264,2.90909,0.011264,11.6364,0.011264,42.6667,0.012288,157.538,0.013312,455.111,0.018432,574.877,0.058368,679.13,0.197632,686.241,0.782336,690.307,3.11091,726.727,11.82,
0.0113636,0.011264,0.0454545,0.011264,0.181818,0.011264,0.727273,0.011264,2.66667,0.012288,11.6364,0.011264,46.5455,0.011264,157.538,0.013312,455.111,0.018432,546.133,0.06144,668.735,0.200704,687.14,0.781312,690.08,3.11194,733.847,11.7053,
0.0113636,0.011264,0.0454545,0.011264,0.2,0.01024,0.666667,0.012288,2.66667,0.012288,10.6667,0.012288,42.6667,0.012288,157.538,0.013312,481.882,0.017408,564.966,0.059392,675.629,0.198656,688.042,0.780288,690.307,3.11091,733.526,11.7105,
0.0113636,0.011264,0.0454545,0.011264,0.2,0.01024,0.666667,0.012288,2.90909,0.011264,11.6364,0.011264,42.6667,0.012288,157.538,0.013312,455.111,0.018432,564.966,0.059392,679.13,0.197632,688.042,0.780288,690.534,3.10989,733.783,11.7064,
0.0104167,0.012288,0.0454545,0.011264,0.2,0.01024,0.727273,0.011264,2.66667,0.012288,11.6364,0.011264,42.6667,0.012288,170.667,0.012288,455.111,0.018432,574.877,0.058368,675.629,0.198656,687.14,0.781312,691.217,3.10682,733.911,11.7043,
0.0104167,0.012288,0.05,0.01024,0.2,0.01024,0.727273,0.011264,2.90909,0.011264,10.6667,0.012288,42.6667,0.012288,170.667,0.012288,455.111,0.018432,564.966,0.059392,679.13,0.197632,687.14,0.781312,691.445,3.10579,733.655,11.7084,
0.0113636,0.011264,0.0454545,0.011264,0.2,0.01024,0.666667,0.012288,2.66667,0.012288,11.6364,0.011264,42.6667,0.012288,170.667,0.012288,481.882,0.017408,564.966,0.059392,682.667,0.196608,688.042,0.780288,690.534,3.10989,733.462,11.7115,
0.0113636,0.011264,0.0454545,0.011264,0.181818,0.011264,0.727273,0.011264,2.90909,0.011264,10.6667,0.012288,42.6667,0.012288,170.667,0.012288,455.111,0.018432,574.877,0.058368,682.667,0.196608,687.14,0.781312,690.534,3.10989,733.334,11.7135,
0.0104167,0.012288,0.0416667,0.012288,0.181818,0.011264,0.727273,0.011264,2.90909,0.011264,11.6364,0.011264,42.6667,0.012288,170.667,0.012288,455.111,0.018432,574.877,0.058368,682.667,0.196608,687.14,0.781312,690.08,3.11194,733.655,11.7084,
0.0104167,0.012288,0.0454545,0.011264,0.181818,0.011264,0.8,0.01024,2.66667,0.012288,10.6667,0.012288,46.5455,0.011264,170.667,0.012288,481.882,0.017408,564.966,0.059392,686.241,0.195584,684.449,0.784384,689.626,3.11398,733.526,11.7105,
0.0113636,0.011264,0.0454545,0.011264,0.181818,0.011264,0.727273,0.011264,2.66667,0.012288,11.6364,0.011264,42.6667,0.012288,170.667,0.012288,481.882,0.017408,574.877,0.058368,682.667,0.196608,688.042,0.780288,690.534,3.10989,733.462,11.7115,
0.0113636,0.011264,0.0454545,0.011264,0.181818,0.011264,0.666667,0.012288,2.90909,0.011264,10.6667,0.012288,46.5455,0.011264,170.667,0.012288,455.111,0.018432,574.877,0.058368,675.629,0.198656,688.042,0.780288,689.853,3.11296,733.719,11.7074,
0.0113636,0.011264,0.0454545,0.011264,0.181818,0.011264,0.727273,0.011264,2.66667,0.012288,10.6667,0.012288,42.6667,0.012288,170.667,0.012288,455.111,0.018432,564.966,0.059392,675.629,0.198656,687.14,0.781312,690.307,3.11091,733.591,11.7094,
0.0113636,0.011264,0.0454545,0.011264,0.181818,0.011264,0.8,0.01024,2.90909,0.011264,10.6667,0.012288,42.6667,0.012288,157.538,0.013312,455.111,0.018432,574.877,0.058368,679.13,0.197632,690.762,0.777216,690.534,3.10989,733.591,11.7094,
0.0113636,0.011264,0.0454545,0.011264,0.2,0.01024,0.727273,0.011264,2.66667,0.012288,11.6364,0.011264,42.6667,0.012288,157.538,0.013312,481.882,0.017408,574.877,0.058368,675.629,0.198656,692.587,0.775168,690.307,3.11091,733.462,11.7115,
0.0113636,0.011264,0.0454545,0.011264,0.2,0.01024,0.8,0.01024,2.90909,0.011264,10.6667,0.012288,46.5455,0.011264,157.538,0.013312,481.882,0.017408,574.877,0.058368,675.629,0.198656,692.587,0.775168,689.853,3.11296,733.591,11.7094,
0.0125,0.01024,0.0416667,0.012288,0.2,0.01024,0.727273,0.011264,2.90909,0.011264,11.6364,0.011264,39.3846,0.013312,170.667,0.012288,455.111,0.018432,564.966,0.059392,675.629,0.198656,692.587,0.775168,690.307,3.11091,733.911,11.7043,
0.0104167,0.012288,0.0454545,0.011264,0.181818,0.011264,0.727273,0.011264,2.90909,0.011264,10.6667,0.012288,46.5455,0.011264,170.667,0.012288,455.111,0.018432,574.877,0.058368,672.164,0.19968,689.853,0.77824,689.399,3.11501,733.462,11.7115,
