bandwidth_0,time_0,bandwidth_1,time_1,bandwidth_2,time_2,bandwidth_3,time_3,bandwidth_4,time_4,bandwidth_5,time_5,bandwidth_6,time_6,bandwidth_7,time_7,bandwidth_8,time_8,bandwidth_9,time_9,bandwidth_10,time_10,bandwidth_11,time_11,bandwidth_12,time_12,bandwidth_13,time_13,
0.0125,0.01024,0.05,0.01024,,,0.8,0.01024,3.2,0.01024,11.6364,0.011264,46.5455,0.011264,170.667,0.012288,431.158,0.019456,668.735,0.050176,732.246,0.183296,748.983,0.7168,746.583,2.87642,713.074,12.0463,
0.0125,0.01024,0.05,0.01024,,,0.8,0.01024,3.2,0.01024,12.8,0.01024,46.5455,0.011264,157.538,0.013312,431.158,0.019456,655.36,0.0512,740.52,0.181248,754.371,0.71168,746.583,2.87642,714.046,12.03,
0.0125,0.01024,0.05,0.01024,,,0.8,0.01024,3.2,0.01024,12.8,0.01024,46.5455,0.011264,170.667,0.012288,455.111,0.018432,668.735,0.050176,732.246,0.183296,752.207,0.713728,745.787,2.87949,714.167,12.0279,
0.0113636,0.011264,0.05,0.01024,,,0.8,0.01024,3.2,0.01024,12.8,0.01024,46.5455,0.011264,170.667,0.012288,481.882,0.017408,668.735,0.050176,736.36,0.182272,754.371,0.71168,747.648,2.87232,713.985,12.031,
0.0125,0.01024,0.05,0.01024,,,0.8,0.01024,3.2,0.01024,12.8,0.01024,51.2,0.01024,157.538,0.013312,481.882,0.017408,655.36,0.0512,740.52,0.181248,756.548,0.709632,748.983,2.8672,713.317,12.0422,
0.0113636,0.011264,0.0454545,0.011264,,,0.8,0.01024,3.2,0.01024,12.8,0.01024,46.5455,0.011264,170.667,0.012288,481.882,0.017408,655.36,0.0512,740.52,0.181248,753.287,0.712704,748.983,2.8672,713.256,12.0433,
0.0138889,0.009216,0.05,0.01024,,,0.8,0.01024,2.90909,0.011264,12.8,0.01024,46.5455,0.011264,136.533,0.01536,481.882,0.017408,655.36,0.0512,724.155,0.185344,756.548,0.709632,749.786,2.86413,712.893,12.0494,
0.0113636,0.011264,0.05,0.01024,,,0.8,0.01024,3.2,0.01024,11.6364,0.011264,51.2,0.01024,170.667,0.012288,455.111,0.018432,668.735,0.050176,736.36,0.182272,754.371,0.71168,750.591,2.86106,713.803,12.034,
0.0125,0.01024,0.05,0.01024,,,0.8,0.01024,3.2,0.01024,12.8,0.01024,46.5455,0.011264,170.667,0.012288,455.111,0.018432,655.36,0.0512,736.36,0.182272,757.642,0.708608,749.25,2.86618,713.378,12.0412,
0.0113636,0.011264,0.05,0.01024,,,0.8,0.01024,3.2,0.01024,12.8,0.01024,46.5455,0.011264,170.667,0.012288,481.882,0.017408,642.51,0.052224,732.246,0.183296,756.548,0.709632,747.648,2.87232,714.046,12.03,
0.0125,0.01024,0.05,0.01024,,,0.8,0.01024,3.2,0.01024,12.8,0.01024,51.2,0.01024,170.667,0.012288,481.882,0.017408,655.36,0.0512,728.178,0.18432,755.458,0.710656,749.786,2.86413,716.975,11.9808,
0.0113636,0.011264,0.05,0.01024,,,0.8,0.01024,3.2,0.01024,12.8,0.01024,51.2,0.01024,170.667,0.012288,481.882,0.017408,655.36,0.0512,744.727,0.180224,755.458,0.710656,749.518,2.86515,745.058,11.5292,
0.0125,0.01024,0.05,0.01024,,,0.888889,0.009216,3.2,0.01024,12.8,0.01024,46.5455,0.011264,170.667,0.012288,481.882,0.017408,668.735,0.050176,736.36,0.182272,755.458,0.710656,748.983,2.8672,745.455,11.5231,
0.0113636,0.011264,0.05,0.01024,,,0.888889,0.009216,3.2,0.01024,12.8,0.01024,46.5455,0.011264,170.667,0.012288,481.882,0.017408,668.735,0.050176,732.246,0.183296,757.642,0.708608,747.115,2.87437,743.869,11.5476,
0.0125,0.01024,0.05,0.01024,,,0.8,0.01024,2.90909,0.011264,12.8,0.01024,46.5455,0.011264,170.667,0.012288,455.111,0.018432,642.51,0.052224,732.246,0.183296,753.287,0.712704,748.448,2.86925,744.463,11.5384,
0.0113636,0.011264,0.05,0.01024,,,0.8,0.01024,3.2,0.01024,12.8,0.01024,46.5455,0.011264,170.667,0.012288,455.111,0.018432,655.36,0.0512,744.727,0.180224,756.548,0.709632,749.25,2.86618,745.124,11.5282,
