bandwidth_0,time_0,bandwidth_1,time_1,bandwidth_2,time_2,bandwidth_3,time_3,bandwidth_4,time_4,bandwidth_5,time_5,bandwidth_6,time_6,bandwidth_7,time_7,bandwidth_8,time_8,bandwidth_9,time_9,bandwidth_10,time_10,bandwidth_11,time_11,bandwidth_12,time_12,bandwidth_13,time_13,
0.0125,0.01024,0.05,0.01024,0.2,0.01024,0.727273,0.011264,2.90909,0.011264,12.8,0.01024,36.5714,0.014336,157.538,0.013312,431.158,0.019456,642.51,0.052224,736.36,0.182272,750.054,0.715776,746.583,2.87642,711.925,12.0658,
0.0113636,0.011264,0.0555556,0.009216,0.2,0.01024,0.727273,0.011264,3.2,0.01024,12.8,0.01024,46.5455,0.011264,170.667,0.012288,431.158,0.019456,655.36,0.0512,510.008,0.263168,754.371,0.71168,748.715,2.86822,711.804,12.0678,
0.0125,0.01024,0.0454545,0.011264,0.2,0.01024,0.727273,0.011264,2.90909,0.011264,12.8,0.01024,46.5455,0.011264,157.538,0.013312,455.111,0.018432,642.51,0.052224,736.36,0.182272,756.548,0.709632,750.054,2.8631,712.771,12.0515,
0.0125,0.01024,0.05,0.01024,0.2,0.01024,0.727273,0.011264,2.90909,0.011264,12.8,0.01024,46.5455,0.011264,157.538,0.013312,455.111,0.018432,642.51,0.052224,740.52,0.181248,756.548,0.709632,749.786,2.86413,712.348,12.0586,
0.0113636,0.011264,0.05,0.01024,0.2,0.01024,0.8,0.01024,3.2,0.01024,12.8,0.01024,46.5455,0.011264,170.667,0.012288,455.111,0.018432,642.51,0.052224,732.246,0.183296,753.287,0.712704,750.054,2.8631,713.014,12.0474,
0.0113636,0.011264,0.05,0.01024,0.2,0.01024,0.8,0.01024,3.2,0.01024,11.6364,0.011264,46.5455,0.011264,170.667,0.012288,455.111,0.018432,156.785,0.214016,732.246,0.183296,754.371,0.71168,748.715,2.86822,712.408,12.0576,
0.0125,0.01024,0.0454545,0.011264,0.2,0.01024,0.8,0.01024,2.90909,0.011264,11.6364,0.011264,42.6667,0.012288,170.667,0.012288,455.111,0.018432,595.782,0.05632,732.246,0.183296,754.371,0.71168,749.786,2.86413,712.711,12.0525,
0.0125,0.01024,0.0555556,0.009216,0.2,0.01024,0.8,0.01024,2.90909,0.011264,12.8,0.01024,46.5455,0.011264,170.667,0.012288,455.111,0.018432,642.51,0.052224,740.52,0.181248,755.458,0.710656,749.786,2.86413,712.469,12.0566,
0.0125,0.01024,0.05,0.01024,0.181818,0.011264,0.8,0.01024,3.2,0.01024,11.6364,0.011264,46.5455,0.011264,170.667,0.012288,455.111,0.018432,642.51,0.052224,728.178,0.18432,753.287,0.712704,748.448,2.86925,712.046,12.0637,
0.0113636,0.011264,0.05,0.01024,0.2,0.01024,0.8,0.01024,2.90909,0.011264,11.6364,0.011264,46.5455,0.011264,170.667,0.012288,455.111,0.018432,655.36,0.0512,736.36,0.182272,754.371,0.71168,749.25,2.86618,712.287,12.0596,
0.0113636,0.011264,0.05,0.01024,0.2,0.01024,0.8,0.01024,2.90909,0.011264,12.8,0.01024,46.5455,0.011264,170.667,0.012288,455.111,0.018432,655.36,0.0512,740.52,0.181248,753.287,0.712704,749.518,2.86515,712.529,12.0556,
0.0125,0.01024,0.05,0.01024,0.2,0.01024,0.8,0.01024,2.90909,0.011264,12.8,0.01024,46.5455,0.011264,170.667,0.012288,455.111,0.018432,655.36,0.0512,732.246,0.183296,755.458,0.710656,748.715,2.86822,712.65,12.0535,
0.0113636,0.011264,0.05,0.01024,0.2,0.01024,0.8,0.01024,2.90909,0.011264,11.6364,0.011264,46.5455,0.011264,170.667,0.012288,455.111,0.018432,642.51,0.052224,732.246,0.183296,756.548,0.709632,750.054,2.8631,712.408,12.0576,
0.0113636,0.011264,0.05,0.01024,0.2,0.01024,0.8,0.01024,3.2,0.01024,11.6364,0.011264,46.5455,0.011264,157.538,0.013312,431.158,0.019456,655.36,0.0512,736.36,0.182272,751.129,0.714752,748.983,2.8672,713.196,12.0443,
0.0125,0.01024,0.05,0.01024,0.181818,0.011264,0.8,0.01024,3.2,0.01024,12.8,0.01024,46.5455,0.011264,157.538,0.013312,455.111,0.018432,642.51,0.052224,732.246,0.183296,754.371,0.71168,750.86,2.86003,717.282,11.9757,
0.0125,0.01024,0.05,0.01024,0.2,0.01024,0.727273,0.011264,2.90909,0.011264,11.6364,0.011264,46.5455,0.011264,170.667,0.012288,455.111,0.018432,630.154,0.053248,732.246,0.183296,754.371,0.71168,749.25,2.86618,743.407,11.5548,
0.0113636,0.011264,0.05,0.01024,0.181818,0.011264,0.8,0.01024,2.90909,0.011264,11.6364,0.011264,42.6667,0.012288,170.667,0.012288,455.111,0.018432,655.36,0.0512,728.178,0.18432,755.458,0.710656,749.25,2.86618,743.935,11.5466,
