bandwidth_0,time_0,bandwidth_1,time_1,bandwidth_2,time_2,bandwidth_3,time_3,bandwidth_4,time_4,bandwidth_5,time_5,bandwidth_6,time_6,bandwidth_7,time_7,bandwidth_8,time_8,bandwidth_9,time_9,bandwidth_10,time_10,bandwidth_11,time_11,bandwidth_12,time_12,bandwidth_13,time_13,
0.0125,0.01024,0.0454545,0.011264,0.2,0.01024,0.727273,0.011264,2.66667,0.012288,10.6667,0.012288,39.3846,0.013312,120.471,0.017408,240.941,0.034816,318.136,0.105472,378.821,0.354304,539.391,0.995328,549.28,3.90963,361.687,23.7496,
0.0125,0.01024,0.05,0.01024,0.2,0.01024,0.727273,0.011264,2.66667,0.012288,11.6364,0.011264,39.3846,0.013312,120.471,0.017408,256,0.032768,330.99,0.101376,379.919,0.35328,541.061,0.992256,549.28,3.90963,361.765,23.7445,
0.0113636,0.011264,0.0454545,0.011264,0.181818,0.011264,0.727273,0.011264,2.66667,0.012288,11.6364,0.011264,39.3846,0.013312,128,0.016384,256,0.032768,330.99,0.101376,381.023,0.352256,541.62,0.991232,549.424,3.90861,361.796,23.7425,
0.0125,0.01024,0.05,0.01024,0.2,0.01024,0.727273,0.011264,2.66667,0.012288,11.6364,0.011264,39.3846,0.013312,128,0.016384,256,0.032768,327.68,0.1024,379.919,0.35328,542.741,0.989184,549.568,3.90758,361.781,23.7435,
0.0113636,0.011264,0.05,0.01024,0.181818,0.011264,0.727273,0.011264,2.90909,0.011264,10.6667,0.012288,39.3846,0.013312,128,0.016384,248.242,0.033792,327.68,0.1024,379.919,0.35328,541.62,0.991232,549.568,3.90758,361.781,23.7435,
0.0125,0.01024,0.05,0.01024,0.2,0.01024,0.727273,0.011264,2.66667,0.012288,10.6667,0.012288,42.6667,0.012288,120.471,0.017408,248.242,0.033792,330.99,0.101376,381.023,0.352256,543.304,0.98816,549.856,3.90554,361.749,23.7455,
0.0125,0.01024,0.0454545,0.011264,0.181818,0.011264,0.727273,0.011264,2.90909,0.011264,11.6364,0.011264,39.3846,0.013312,120.471,0.017408,248.242,0.033792,330.99,0.101376,381.023,0.352256,541.62,0.991232,550.001,3.90451,374.625,22.9294,
0.0113636,0.011264,0.05,0.01024,0.181818,0.011264,0.727273,0.011264,2.90909,0.011264,11.6364,0.011264,39.3846,0.013312,128,0.016384,256,0.032768,330.99,0.101376,381.023,0.352256,542.18,0.990208,549.856,3.90554,547.702,15.6836,
0.0125,0.01024,0.0454545,0.011264,0.181818,0.011264,0.727273,0.011264,2.66667,0.012288,11.6364,0.011264,42.6667,0.012288,128,0.016384,248.242,0.033792,327.68,0.1024,381.023,0.352256,542.741,0.989184,550.001,3.90451,547.059,15.702,
0.0125,0.01024,0.05,0.01024,0.2,0.01024,0.727273,0.011264,2.66667,0.012288,11.6364,0.011264,39.3846,0.013312,128,0.016384,256,0.032768,334.367,0.100352,381.023,0.352256,542.741,0.989184,549.856,3.90554,544.892,15.7645,
0.0113636,0.011264,0.05,0.01024,0.181818,0.011264,0.727273,0.011264,2.66667,0.012288,11.6364,0.011264,42.6667,0.012288,128,0.016384,256,0.032768,334.367,0.100352,381.023,0.352256,542.741,0.989184,550.145,3.90349,545.069,15.7594,
0.0125,0.01024,0.05,0.01024,0.2,0.01024,0.727273,0.011264,2.90909,0.011264,10.6667,0.012288,39.3846,0.013312,128,0.016384,264.258,0.031744,334.367,0.100352,381.023,0.352256,542.741,0.989184,549.712,3.90656,544.786,15.7676,
0.0113636,0.011264,0.05,0.01024,0.2,0.01024,0.727273,0.011264,2.90909,0.011264,10.6667,0.012288,42.6667,0.012288,128,0.016384,256,0.032768,337.814,0.099328,381.023,0.352256,542.18,0.990208,550.145,3.90349,544.715,15.7696,
0.0125,0.01024,0.05,0.01024,0.2,0.01024,0.727273,0.011264,2.90909,0.011264,10.6667,0.012288,39.3846,0.013312,120.471,0.017408,256,0.032768,330.99,0.101376,385.506,0.34816,542.741,0.989184,550.145,3.90349,544.75,15.7686,
0.0113636,0.011264,0.05,0.01024,0.181818,0.011264,0.727273,0.011264,2.66667,0.012288,11.6364,0.011264,39.3846,0.013312,128,0.016384,256,0.032768,334.367,0.100352,387.787,0.346112,542.741,0.989184,550.001,3.90451,544.75,15.7686,
0.0125,0.01024,0.05,0.01024,0.2,0.01024,0.666667,0.012288,2.66667,0.012288,11.6364,0.011264,42.6667,0.012288,120.471,0.017408,256,0.032768,334.367,0.100352,388.938,0.345088,543.304,0.98816,549.856,3.90554,547.345,15.6938,
0.0113636,0.011264,0.05,0.01024,0.181818,0.011264,0.727273,0.011264,2.90909,0.011264,10.6667,0.012288,39.3846,0.013312,13.0446,0.160768,248.242,0.033792,327.68,0.1024,392.431,0.342016,542.741,0.989184,549.856,3.90554,547.845,15.6795,
0.0125,0.01024,0.05,0.01024,0.2,0.01024,0.727273,0.011264,2.66667,0.012288,9.14286,0.014336,39.3846,0.013312,120.471,0.017408,256,0.032768,330.99,0.101376,395.988,0.338944,542.741,0.989184,549.712,3.90656,547.488,15.6897,
0.0113636,0.011264,0.05,0.01024,0.2,0.01024,0.727273,0.011264,2.66667,0.012288,11.6364,0.011264,39.3846,0.013312,128,0.016384,256,0.032768,334.367,0.100352,397.188,0.33792,543.304,0.98816,549.712,3.90656,547.381,15.6928,
0.0125,0.01024,0.05,0.01024,0.2,0.01024,0.727273,0.011264,2.90909,0.011264,11.6364,0.011264,42.6667,0.012288,128,0.016384,264.258,0.031744,334.367,0.100352,397.188,0.33792,542.741,0.989184,548.705,3.91373,547.524,15.6887,
0.0113636,0.011264,0.05,0.01024,0.2,0.01024,0.666667,0.012288,2.90909,0.011264,10.6667,0.012288,39.3846,0.013312,128,0.016384,256,0.032768,330.99,0.101376,398.395,0.336896,542.741,0.989184,549.136,3.91066,547.273,15.6959,
0.0125,0.01024,0.05,0.01024,0.2,0.01024,0.727273,0.011264,2.90909,0.011264,10.6667,0.012288,42.6667,0.012288,120.471,0.017408,256,0.032768,334.367,0.100352,397.188,0.33792,543.304,0.98816,549.28,3.90963,546.988,15.7041,
0.0125,0.01024,0.05,0.01024,0.2,0.01024,0.727273,0.011264,2.66667,0.012288,11.6364,0.011264,39.3846,0.013312,120.471,0.017408,256,0.032768,330.99,0.101376,398.395,0.336896,543.304,0.98816,549.712,3.90656,546.81,15.7092,
0.0125,0.01024,0.05,0.01024,0.2,0.01024,0.727273,0.011264,2.90909,0.011264,10.6667,0.012288,42.6667,0.012288,128,0.016384,256,0.032768,334.367,0.100352,398.395,0.336896,543.867,0.987136,549.712,3.90656,546.525,15.7174,
