bandwidth_0,time_0,bandwidth_1,time_1,bandwidth_2,time_2,bandwidth_3,time_3,bandwidth_4,time_4,bandwidth_5,time_5,bandwidth_6,time_6,bandwidth_7,time_7,bandwidth_8,time_8,bandwidth_9,time_9,bandwidth_10,time_10,bandwidth_11,time_11,bandwidth_12,time_12,bandwidth_13,time_13,
,,,,,,0.727273,0.011264,2.90909,0.011264,11.6364,0.011264,42.6667,0.012288,128,0.016384,256,0.032768,303.407,0.110592,367.148,0.365568,504.123,1.06496,509.76,4.21274,335.585,25.5969,
,,,,,,0.727273,0.011264,2.90909,0.011264,10.6667,0.012288,42.6667,0.012288,128,0.016384,256,0.032768,306.243,0.109568,367.148,0.365568,505.581,1.06189,509.76,4.21274,335.652,25.5918,
,,,,,,0.8,0.01024,2.90909,0.011264,11.6364,0.011264,39.3846,0.013312,120.471,0.017408,256,0.032768,303.407,0.110592,368.18,0.364544,505.581,1.06189,510.132,4.20966,335.585,25.5969,
,,,,,,0.727273,0.011264,2.90909,0.011264,11.6364,0.011264,39.3846,0.013312,113.778,0.018432,256,0.032768,312.076,0.10752,368.18,0.364544,505.581,1.06189,509.884,4.21171,335.598,25.5959,
,,,,,,0.727273,0.011264,2.90909,0.011264,11.6364,0.011264,39.3846,0.013312,128,0.016384,256,0.032768,309.132,0.108544,368.18,0.364544,505.581,1.06189,510.38,4.20762,397.621,21.6033,
,,,,,,0.727273,0.011264,2.90909,0.011264,11.6364,0.011264,42.6667,0.012288,128,0.016384,256,0.032768,309.132,0.108544,368.18,0.364544,506.07,1.06086,510.008,4.21069,509.76,16.8509,
,,,,,,0.727273,0.011264,2.90909,0.011264,11.6364,0.011264,42.6667,0.012288,128,0.016384,248.242,0.033792,306.243,0.109568,368.18,0.364544,506.07,1.06086,510.38,4.20762,509.822,16.8489,
,,,,,,0.727273,0.011264,2.66667,0.012288,10.6667,0.012288,39.3846,0.013312,128,0.016384,248.242,0.033792,312.076,0.10752,369.217,0.36352,505.581,1.06189,510.256,4.20864,509.853,16.8479,
,,,,,,0.727273,0.011264,2.66667,0.012288,11.6364,0.011264,39.3846,0.013312,128,0.016384,256,0.032768,309.132,0.108544,369.217,0.36352,506.558,1.05984,510.256,4.20864,509.822,16.8489,
,,,,,,0.727273,0.011264,2.66667,0.012288,11.6364,0.011264,39.3846,0.013312,128,0.016384,256,0.032768,312.076,0.10752,368.18,0.364544,505.581,1.06189,510.256,4.20864,509.884,16.8468,
,,,,,,0.727273,0.011264,2.90909,0.011264,11.6364,0.011264,39.3846,0.013312,120.471,0.017408,248.242,0.033792,318.136,0.105472,368.18,0.364544,506.07,1.06086,510.256,4.20864,509.605,16.8561,
,,,,,,0.727273,0.011264,2.90909,0.011264,10.6667,0.012288,39.3846,0.013312,128,0.016384,256,0.032768,315.077,0.106496,369.217,0.36352,506.07,1.06086,510.504,4.20659,509.853,16.8479,
,,,,,,0.8,0.01024,2.90909,0.011264,11.6364,0.011264,39.3846,0.013312,128,0.016384,256,0.032768,318.136,0.105472,369.217,0.36352,505.581,1.06189,510.38,4.20762,509.853,16.8479,
,,,,,,0.727273,0.011264,2.90909,0.011264,11.6364,0.011264,39.3846,0.013312,120.471,0.017408,248.242,0.033792,315.077,0.106496,367.148,0.365568,505.581,1.06189,510.38,4.20762,509.76,16.8509,
,,,,,,0.727273,0.011264,2.66667,0.012288,11.6364,0.011264,39.3846,0.013312,128,0.016384,248.242,0.033792,318.136,0.105472,368.18,0.364544,506.07,1.06086,509.884,4.21171,509.76,16.8509,
,,,,,,0.727273,0.011264,2.90909,0.011264,10.6667,0.012288,42.6667,0.012288,128,0.016384,221.405,0.037888,318.136,0.105472,368.18,0.364544,506.07,1.06086,509.512,4.21478,509.76,16.8509,
,,,,,,0.727273,0.011264,2.90909,0.011264,11.6364,0.011264,39.3846,0.013312,128,0.016384,256,0.032768,318.136,0.105472,368.18,0.364544,505.581,1.06189,509.512,4.21478,509.574,16.8571,
,,,,,,0.8,0.01024,2.90909,0.011264,11.6364,0.011264,42.6667,0.012288,128,0.016384,248.242,0.033792,315.077,0.106496,369.217,0.36352,506.558,1.05984,510.008,4.21069,509.791,16.8499,
