bandwidth_0,time_0,bandwidth_1,time_1,bandwidth_2,time_2,bandwidth_3,time_3,bandwidth_4,time_4,bandwidth_5,time_5,bandwidth_6,time_6,bandwidth_7,time_7,bandwidth_8,time_8,bandwidth_9,time_9,bandwidth_10,time_10,bandwidth_11,time_11,bandwidth_12,time_12,bandwidth_13,time_13,
0.0113636,0.011264,0.05,0.01024,0.2,0.01024,0.8,0.01024,3.2,0.01024,11.6364,0.011264,46.5455,0.011264,157.538,0.013312,431.158,0.019456,655.36,0.0512,744.727,0.180224,751.129,0.714752,748.448,2.86925,712.287,12.0596,
0.0125,0.01024,0.05,0.01024,0.2,0.01024,0.8,0.01024,3.2,0.01024,10.6667,0.012288,46.5455,0.011264,170.667,0.012288,431.158,0.019456,655.36,0.0512,744.727,0.180224,753.287,0.712704,750.054,2.8631,712.408,12.0576,
0.0125,0.01024,0.05,0.01024,0.2,0.01024,0.727273,0.011264,2.90909,0.011264,10.6667,0.012288,46.5455,0.011264,170.667,0.012288,455.111,0.018432,655.36,0.0512,753.287,0.178176,751.129,0.714752,749.25,2.86618,711.804,12.0678,
0.0125,0.01024,0.05,0.01024,0.2,0.01024,0.8,0.01024,2.90909,0.011264,11.6364,0.011264,46.5455,0.011264,170.667,0.012288,431.158,0.019456,642.51,0.052224,736.36,0.182272,753.287,0.712704,748.983,2.8672,712.893,12.0494,
0.0125,0.01024,0.05,0.01024,0.181818,0.011264,0.727273,0.011264,3.2,0.01024,11.6364,0.011264,46.5455,0.011264,157.538,0.013312,455.111,0.018432,655.36,0.0512,748.983,0.1792,752.207,0.713728,750.323,2.86208,712.227,12.0607,
0.0125,0.01024,0.05,0.01024,0.2,0.01024,0.8,0.01024,2.90909,0.011264,11.6364,0.011264,46.5455,0.011264,157.538,0.013312,455.111,0.018432,655.36,0.0512,748.983,0.1792,754.371,0.71168,748.181,2.87027,712.59,12.0545,
0.0113636,0.011264,0.05,0.01024,0.181818,0.011264,0.8,0.01024,2.90909,0.011264,11.6364,0.011264,46.5455,0.011264,157.538,0.013312,455.111,0.018432,668.735,0.050176,744.727,0.180224,752.207,0.713728,750.323,2.86208,713.014,12.0474,
0.0125,0.01024,0.05,0.01024,0.2,0.01024,0.8,0.01024,3.2,0.01024,11.6364,0.011264,46.5455,0.011264,157.538,0.013312,455.111,0.018432,655.36,0.0512,744.727,0.180224,756.548,0.709632,749.786,2.86413,712.893,12.0494,
0.0113636,0.011264,0.05,0.01024,0.181818,0.011264,0.727273,0.011264,3.2,0.01024,11.6364,0.011264,46.5455,0.011264,157.538,0.013312,455.111,0.018432,642.51,0.052224,744.727,0.180224,752.207,0.713728,748.181,2.87027,712.832,12.0504,
0.0125,0.01024,0.05,0.01024,0.2,0.01024,0.727273,0.011264,2.90909,0.011264,12.8,0.01024,51.2,0.01024,157.538,0.013312,455.111,0.018432,642.51,0.052224,744.727,0.180224,754.371,0.71168,747.381,2.87334,716.302,11.9921,
0.0125,0.01024,0.05,0.01024,0.181818,0.011264,0.8,0.01024,2.90909,0.011264,11.6364,0.011264,46.5455,0.011264,170.667,0.012288,455.111,0.018432,655.36,0.0512,744.727,0.180224,754.371,0.71168,747.381,2.87334,744.397,11.5395,
0.0125,0.01024,0.05,0.01024,0.2,0.01024,0.8,0.01024,2.90909,0.011264,11.6364,0.011264,46.5455,0.011264,157.538,0.013312,455.111,0.018432,655.36,0.0512,740.52,0.181248,757.642,0.708608,747.914,2.8713,743.341,11.5558,
0.0113636,0.011264,0.0454545,0.011264,0.181818,0.011264,0.8,0.01024,2.90909,0.011264,11.6364,0.011264,46.5455,0.011264,170.667,0.012288,455.111,0.018432,655.36,0.0512,740.52,0.181248,755.458,0.710656,748.715,2.86822,744.86,11.5323,
0.0125,0.01024,0.0555556,0.009216,0.2,0.01024,0.8,0.01024,3.2,0.01024,12.8,0.01024,46.5455,0.011264,170.667,0.012288,455.111,0.018432,642.51,0.052224,740.52,0.181248,754.371,0.71168,750.323,2.86208,744.661,11.5354,
0.0125,0.01024,0.05,0.01024,0.181818,0.011264,0.727273,0.011264,3.2,0.01024,12.8,0.01024,46.5455,0.011264,157.538,0.013312,455.111,0.018432,655.36,0.0512,736.36,0.182272,753.287,0.712704,749.786,2.86413,744.067,11.5446,
0.0125,0.01024,0.05,0.01024,0.2,0.01024,0.8,0.01024,2.90909,0.011264,11.6364,0.011264,46.5455,0.011264,157.538,0.013312,455.111,0.018432,642.51,0.052224,736.36,0.182272,755.458,0.710656,748.715,2.86822,744.199,11.5425,
0.0125,0.01024,0.0454545,0.011264,0.181818,0.011264,0.727273,0.011264,2.90909,0.011264,11.6364,0.011264,51.2,0.01024,157.538,0.013312,455.111,0.018432,655.36,0.0512,748.983,0.1792,752.207,0.713728,747.648,2.87232,744.926,11.5313,
0.0125,0.01024,0.05,0.01024,0.2,0.01024,0.8,0.01024,2.90909,0.011264,12.8,0.01024,46.5455,0.011264,157.538,0.013312,455.111,0.018432,630.154,0.053248,736.36,0.182272,754.371,0.71168,749.25,2.86618,744.529,11.5374,
0.0125,0.01024,0.05,0.01024,0.181818,0.011264,0.8,0.01024,3.2,0.01024,11.6364,0.011264,46.5455,0.011264,170.667,0.012288,455.111,0.018432,668.735,0.050176,736.36,0.182272,754.371,0.71168,750.054,2.8631,744.397,11.5395,
0.0125,0.01024,0.05,0.01024,0.2,0.01024,0.8,0.01024,3.2,0.01024,11.6364,0.011264,46.5455,0.011264,157.538,0.013312,455.111,0.018432,642.51,0.052224,728.178,0.18432,755.458,0.710656,749.518,2.86515,743.671,11.5507,
0.0125,0.01024,0.0357143,0.014336,0.2,0.01024,0.727273,0.011264,2.90909,0.011264,11.6364,0.011264,42.6667,0.012288,170.667,0.012288,431.158,0.019456,642.51,0.052224,744.727,0.180224,753.287,0.712704,747.115,2.87437,744.265,11.5415,
