bandwidth_0,time_0,bandwidth_1,time_1,bandwidth_2,time_2,bandwidth_3,time_3,bandwidth_4,time_4,bandwidth_5,time_5,bandwidth_6,time_6,bandwidth_7,time_7,bandwidth_8,time_8,bandwidth_9,time_9,bandwidth_10,time_10,bandwidth_11,time_11,bandwidth_12,time_12,bandwidth_13,time_13,
0.0104167,0.012288,0.05,0.01024,0.2,0.01024,0.727273,0.011264,2.90909,0.011264,11.6364,0.011264,42.6667,0.012288,128,0.016384,256,0.032768,341.333,0.098304,402.061,0.333824,379.919,1.41312,578.206,3.71405,573.815,14.9699,
0.0113636,0.011264,0.05,0.01024,0.2,0.01024,0.727273,0.011264,2.90909,0.011264,11.6364,0.011264,42.6667,0.012288,136.533,0.01536,264.258,0.031744,348.596,0.096256,404.543,0.331776,381.578,1.40698,578.525,3.712,573.972,14.9658,
0.0125,0.01024,0.0555556,0.009216,0.2,0.01024,0.727273,0.011264,2.90909,0.011264,11.6364,0.011264,42.6667,0.012288,128,0.016384,256,0.032768,348.596,0.096256,404.543,0.331776,380.747,1.41005,578.525,3.712,574.562,14.9504,
0.0125,0.01024,0.05,0.01024,0.2,0.01024,0.727273,0.011264,2.90909,0.011264,11.6364,0.011264,42.6667,0.012288,128,0.016384,264.258,0.031744,348.596,0.096256,404.543,0.331776,380.747,1.41005,578.844,3.70995,574.838,14.9432,
0.0125,0.01024,0.05,0.01024,0.2,0.01024,0.8,0.01024,2.66667,0.012288,11.6364,0.011264,39.3846,0.013312,136.533,0.01536,256,0.032768,352.344,0.095232,405.796,0.330752,381.578,1.40698,578.844,3.70995,575.035,14.9381,
0.0113636,0.011264,0.05,0.01024,0.2,0.01024,0.727273,0.011264,2.90909,0.011264,11.6364,0.011264,42.6667,0.012288,128,0.016384,256,0.032768,184.09,0.182272,404.543,0.331776,381.856,1.40595,578.525,3.712,574.956,14.9402,
0.0125,0.01024,0.05,0.01024,0.222222,0.009216,0.727273,0.011264,2.90909,0.011264,10.6667,0.012288,42.6667,0.012288,128,0.016384,264.258,0.031744,341.333,0.098304,405.796,0.330752,381.3,1.408,579.004,3.70893,575.153,14.935,
0.0125,0.01024,0.05,0.01024,0.2,0.01024,0.727273,0.011264,2.90909,0.011264,11.6364,0.011264,42.6667,0.012288,136.533,0.01536,256,0.032768,348.596,0.096256,404.543,0.331776,381.3,1.408,578.844,3.70995,575.232,14.933,
0.0125,0.01024,0.0555556,0.009216,0.2,0.01024,0.8,0.01024,2.90909,0.011264,11.6364,0.011264,39.3846,0.013312,128,0.016384,264.258,0.031744,344.926,0.09728,404.543,0.331776,381.3,1.408,578.844,3.70995,575.193,14.934,
0.0125,0.01024,0.05,0.01024,0.2,0.01024,0.727273,0.011264,2.90909,0.011264,11.6364,0.011264,42.6667,0.012288,128,0.016384,264.258,0.031744,352.344,0.095232,404.543,0.331776,446.203,1.2032,578.525,3.712,575.193,14.934,
0.0125,0.01024,0.05,0.01024,0.2,0.01024,0.8,0.01024,2.66667,0.012288,11.6364,0.011264,3.30323,0.15872,128,0.016384,248.242,0.033792,348.596,0.096256,404.543,0.331776,572.367,0.937984,578.844,3.70995,575.35,14.9299,
0.0113636,0.011264,0.05,0.01024,0.2,0.01024,0.727273,0.011264,2.90909,0.011264,11.6364,0.011264,36.5714,0.014336,136.533,0.01536,256,0.032768,352.344,0.095232,404.543,0.331776,572.367,0.937984,578.365,3.71302,575.311,14.9309,
0.0125,0.01024,0.05,0.01024,0.2,0.01024,0.727273,0.011264,2.90909,0.011264,11.6364,0.011264,39.3846,0.013312,128,0.016384,264.258,0.031744,348.596,0.096256,403.298,0.3328,569.878,0.94208,577.41,3.71917,575.035,14.9381,
0.0125,0.01024,0.05,0.01024,0.2,0.01024,0.727273,0.011264,2.90909,0.011264,11.6364,0.011264,39.3846,0.013312,136.533,0.01536,264.258,0.031744,341.333,0.098304,404.543,0.331776,569.259,0.943104,577.728,3.71712,575.153,14.935,
0.0125,0.01024,0.05,0.01024,0.2,0.01024,0.8,0.01024,2.90909,0.011264,10.6667,0.012288,42.6667,0.012288,136.533,0.01536,248.242,0.033792,344.926,0.09728,403.298,0.3328,571.12,0.940032,578.684,3.71098,575.193,14.934,
0.0125,0.01024,0.0454545,0.011264,0.181818,0.011264,0.727273,0.011264,2.90909,0.011264,10.6667,0.012288,42.6667,0.012288,128,0.016384,264.258,0.031744,352.344,0.095232,404.543,0.331776,571.743,0.939008,578.684,3.71098,575.153,14.935,
0.0125,0.01024,0.05,0.01024,0.2,0.01024,0.727273,0.011264,2.90909,0.011264,11.6364,0.011264,42.6667,0.012288,136.533,0.01536,248.242,0.033792,348.596,0.096256,405.796,0.330752,571.12,0.940032,578.844,3.70995,575.074,14.9371,
0.0125,0.01024,0.05,0.01024,0.181818,0.011264,0.727273,0.011264,2.90909,0.011264,11.6364,0.011264,42.6667,0.012288,128,0.016384,248.242,0.033792,348.596,0.096256,404.543,0.331776,574.877,0.933888,579.164,3.7079,574.523,14.9514,
