bandwidth_0,time_0,bandwidth_1,time_1,bandwidth_2,time_2,bandwidth_3,time_3,bandwidth_4,time_4,bandwidth_5,time_5,bandwidth_6,time_6,bandwidth_7,time_7,bandwidth_8,time_8,bandwidth_9,time_9,bandwidth_10,time_10,bandwidth_11,time_11,bandwidth_12,time_12,bandwidth_13,time_13,
0.00892857,0.014336,0.0416667,0.012288,0.166667,0.012288,0.666667,0.012288,2.90909,0.011264,9.84615,0.013312,39.3846,0.013312,146.286,0.014336,341.333,0.024576,555.39,0.060416,766.503,0.175104,804.123,0.667648,818.88,2.62246,805.281,10.667,
0.0113636,0.011264,0.05,0.01024,0.2,0.01024,0.666667,0.012288,2.66667,0.012288,9.84615,0.013312,42.6667,0.012288,157.538,0.013312,341.333,0.024576,564.966,0.059392,775.574,0.173056,811.591,0.661504,820.161,2.61837,804.894,10.6721,
0.0113636,0.011264,0.0416667,0.012288,0.181818,0.011264,0.727273,0.011264,2.90909,0.011264,10.6667,0.012288,42.6667,0.012288,157.538,0.013312,341.333,0.024576,546.133,0.06144,766.503,0.175104,812.85,0.66048,821.125,2.6153,804.277,10.6803,
0.0113636,0.011264,0.0454545,0.011264,0.2,0.01024,0.666667,0.012288,2.66667,0.012288,10.6667,0.012288,39.3846,0.013312,157.538,0.013312,372.364,0.022528,564.966,0.059392,762.047,0.176128,811.591,0.661504,821.446,2.61427,804.431,10.6783,
0.0125,0.01024,0.0454545,0.011264,0.181818,0.011264,0.727273,0.011264,2.90909,0.011264,11.6364,0.011264,42.6667,0.012288,157.538,0.013312,372.364,0.022528,555.39,0.060416,766.503,0.175104,814.112,0.659456,821.768,2.61325,804.431,10.6783,
0.0113636,0.011264,0.0454545,0.011264,0.2,0.01024,0.727273,0.011264,2.66667,0.012288,10.6667,0.012288,42.6667,0.012288,146.286,0.014336,372.364,0.022528,546.133,0.06144,771.012,0.17408,811.591,0.661504,822.09,2.61222,804.431,10.6783,
0.0113636,0.011264,0.0454545,0.011264,0.181818,0.011264,0.727273,0.011264,2.66667,0.012288,11.6364,0.011264,42.6667,0.012288,146.286,0.014336,372.364,0.022528,574.877,0.058368,771.012,0.17408,811.591,0.661504,822.09,2.61222,804.508,10.6772,
0.0113636,0.011264,0.0454545,0.011264,0.2,0.01024,0.727273,0.011264,2.66667,0.012288,10.6667,0.012288,39.3846,0.013312,146.286,0.014336,390.095,0.021504,564.966,0.059392,775.574,0.173056,814.112,0.659456,822.735,2.61018,804.585,10.6762,
0.0113636,0.011264,0.0454545,0.011264,0.181818,0.011264,0.666667,0.012288,2.66667,0.012288,10.6667,0.012288,42.6667,0.012288,157.538,0.013312,390.095,0.021504,546.133,0.06144,780.19,0.172032,812.85,0.66048,823.381,2.60813,803.969,10.6844,
0.0125,0.01024,0.0454545,0.011264,0.2,0.01024,0.727273,0.011264,2.66667,0.012288,10.6667,0.012288,42.6667,0.012288,157.538,0.013312,372.364,0.022528,555.39,0.060416,766.503,0.175104,814.112,0.659456,823.381,2.60813,804.74,10.6742,
